Model,surah_id,WER
Tadabur-Whisper-Small (Author),17,0.6154
Tadabur-Whisper-Small (Author),18,0.65
Tadabur-Whisper-Small (Author),19,0.875
Tadabur-Whisper-Small (Author),20,0.48
Tadabur-Whisper-Small (Author),21,0.3571
Tadabur-Whisper-Small (Author),22,0.4773
Tadabur-Whisper-Small (Author),23,0.5652
Tadabur-Whisper-Small (Author),24,0.4259
Tadabur-Whisper-Small (Author),25,0.4762
Tadabur-Whisper-Small (Author),28,0.7222
Tadabur-Whisper-Small (Author),31,0.5
Tadabur-Whisper-Small (Author),33,0.5
Tadabur-Whisper-Small (Author),35,0.4583
Tadabur-Whisper-Small (Author),36,0.5455
Tadabur-Whisper-Small (Author),37,0.4286
Tadabur-Whisper-Small (Author),38,0.4231
Tadabur-Whisper-Small (Author),39,0.4783
Tadabur-Whisper-Small (Author),42,0.4667
Tadabur-Whisper-Small (Author),44,0.3077
Tadabur-Whisper-Small (Author),50,0.1429
Tadabur-Whisper-Small (Author),51,1.0
Tadabur-Whisper-Small (Author),53,0.5556
Tadabur-Whisper-Small (Author),54,0.3333
Tadabur-Whisper-Small (Author),55,0.5
Tadabur-Whisper-Small (Author),68,0.2222
Tadabur-Whisper-Small (Author),73,0.6667
Tadabur-Whisper-Small (Author),74,0.5385
Tadabur-Whisper-Small (Author),75,0.2
Tadabur-Whisper-Small (Author),77,0.625
Tadabur-Whisper-Small (Author),80,0.4545
Tadabur-Whisper-Small (Author),81,0.6667
Tadabur-Whisper-Small (Author),84,0.5
Tadabur-Whisper-Small (Author),86,0.5
Tadabur-Whisper-Small (Author),87,0.5
Tadabur-Whisper-Small (Author),88,0.3333
Tadabur-Whisper-Small (Author),90,0.6667
Tadabur-Whisper-Small (Author),93,0.0
Tadabur-Whisper-Small (Author),107,0.5
Tadabur-Whisper-Small (Author),113,0.5
